user_id,item_id,rating
224557,510,10
224557,615,10
224557,7680,10
224293,510,10
224293,515,10
224293,516,4
224442,510,10
265845,510,10
224470,510,10
224470,513,10
224470,526,10
267435,510,10
268944,510,10
268930,510,10
268930,733,9
266026,510,10
224453,510,10
224453,615,10
224453,813,6
224453,7680,10
224343,510,10
277123,510,10
277123,7104,5
277123,70385,3
274237,510,2
277945,510,10
277945,511,9
277945,512,10
277945,619,10
277945,733,10
277945,738,10
277945,739,10
277945,743,10
277945,744,1
277945,803,10
277945,804,5
277945,886,10
277945,887,10
277945,902,2
277945,913,1
277945,941,10
277945,1946,10
277945,1948,10
277945,4409,1
277945,4418,10
277945,4419,10
277945,4420,10
277945,4421,10
277945,4422,4
277945,7626,2
277945,24594,10
277945,31949,10
277945,31950,10
277945,31952,10
277945,31953,10
277945,31955,10
277945,31958,10
277945,31959,10
277945,31960,10
277945,31970,10
277945,31971,10
277945,31972,10
277945,31975,10
277945,31986,10
277945,31988,10
277945,31993,10
277945,31994,10
277945,31995,10
277945,31996,10
277945,31997,10
277945,31998,10
277945,31999,10
277945,32000,10
277945,32001,10
277945,32002,10
277945,32022,4
277945,32023,2
277945,32024,1
277945,32025,1
277945,32035,1
277945,45041,7
277945,64207,10
277945,64216,10
277945,64247,10
277945,64248,10
277945,64249,10
277945,64250,10
277945,64252,10
277945,64253,10
277945,64254,10
277945,64255,10
277945,65425,1
277945,66521,10
277945,126654,10
277945,126655,9
277945,126657,10
277945,126658,10
277945,126660,3
277945,126661,1
277945,126663,10
277945,128684,10
277945,128686,10
277945,128687,1
277945,128689,1
277945,128690,1
277945,161427,10
277945,179314,10
277945,181489,1
277945,233779,10
277945,233780,10
277945,233781,10
277945,233783,10
277945,233787,10
277945,233788,10
277945,385090,5
277945,393132,10
259398,510,10
259398,512,10
259398,545,10
275855,510,10
275855,511,10
275855,512,10
275855,545,10
275855,546,10
275855,547,10
275855,548,10
275855,549,10
275855,550,10
275855,551,10
275855,552,10
275855,553,10
275855,554,10
275855,555,10
275855,556,10
275855,557,10
275855,558,10
275855,559,10
275855,561,8
275855,16365,10
275855,62140,10
275855,62141,10
275855,62142,10
275855,62143,10
275855,62144,10
275855,62145,10
275855,62146,10
275855,62149,10
275855,62150,10
275855,62151,10
275855,62152,10
275855,62153,10
275855,62154,10
275855,62155,10
275855,62156,10
275855,64195,10
275855,64196,10
275855,64197,10
275855,64198,10
275855,64199,10
279337,510,10
279337,511,10
279337,512,8
279337,513,10
279337,514,6
279337,515,6
279337,516,2
279337,615,1
279337,7627,9
279337,7628,1
279337,43457,10
279337,43465,10
266617,510,1
266617,545,1
266617,16366,10
266617,38545,2
266617,43457,4
266617,233780,10
280553,510,1
225997,510,10
225997,545,10
225997,31949,10
225997,43458,10
225997,43459,10
225997,43464,10
225997,43465,10
225997,43470,10
225997,43472,10
225997,43473,10
225997,43481,10
277485,510,10
277485,511,10
277485,512,10
277485,7104,2
277485,7106,5
281621,510,3
281644,510,10
284357,510,8
231150,510,10
139125,510,9
139125,622,6
139125,7653,10
139125,16367,10
139125,16370,10
139125,43461,10
139125,43481,10
139125,126661,10
288417,510,10
288417,512,10
288417,7626,10
288417,7627,10
282949,510,10
282949,545,10
282949,546,10
65824,510,1
293840,510,10
294257,510,4
124548,510,4
124548,540,2
124548,555,10
124548,789,1
124548,811,1
124548,15256,1
124548,43457,2
249676,510,10
249676,512,10
295051,510,10
294765,510,10
294765,514,10
294765,43473,10
295446,510,10
295446,512,10
295446,16366,10
295446,16367,10
295446,16368,10
295446,16369,7
295446,16370,10
295446,43457,9
295446,43458,10
295446,43459,10
295446,43460,10
295540,510,10
295645,510,10
294411,510,10
296050,510,10
296050,512,4
295974,510,10
295974,43457,10
295974,43458,10
295974,43459,10
295974,43460,10
181918,510,10
181918,511,10
181918,513,10
181918,7628,10
181918,31993,10
181918,31995,10
181918,32010,10
296921,510,10
296921,526,10
296921,7104,10
296921,7105,10
296921,7626,10
296921,45180,10
296894,510,10
296894,512,10
296742,510,10
296742,511,10
296742,512,10
296742,515,10
304769,510,4
304769,512,5
178475,510,10
178475,45205,1
178475,52609,10
304895,510,10
304895,512,10
304895,813,10
304895,814,10
304895,815,10
304895,817,10
304895,818,10
304895,819,10
304895,7626,5
118583,510,10
118583,813,10
118583,814,10
118583,815,10
118583,816,10
118583,817,10
118583,818,10
118583,7626,4
4160,510,10
307924,510,10
307924,512,10
288047,510,10
288047,512,10
288047,45131,10
305181,510,10
305181,511,10
305181,512,10
305181,513,6
305181,514,10
305181,515,10
305181,516,7
310228,510,8
310228,45131,9
310290,510,9
321800,510,10
321800,511,10
322302,510,10
322302,512,10
322302,4423,10
319053,510,10
319053,545,10
319053,733,10
319053,734,10
319053,735,10
319053,736,10
319053,737,10
319053,738,10
319053,742,10
319053,743,10
319053,749,8
319053,789,10
319053,7104,10
319053,7105,10
319053,7109,10
319053,7111,10
319053,7119,10
319053,7627,4
319053,12653,10
319053,12659,10
319053,12693,10
319053,12702,10
319053,38544,10
319053,38547,10
319053,38548,10
319053,38549,1
319053,38555,4
319053,38557,3
319053,38558,7
335990,510,10
336006,510,10
336006,801,10
319051,510,10
319051,511,10
319051,512,10
319051,513,10
319051,514,10
319051,515,10
319051,516,10
319051,16368,10
319051,16371,10
319051,16373,10
319051,16375,10
319051,16386,10
319051,38552,10
319051,43459,10
319051,66856,10
363905,510,10
363905,70385,10
90940,510,10
90940,512,4
365550,510,10
378567,510,10
378567,512,10
378567,32022,10
378317,510,4
378317,31991,10
378317,43457,10
378317,43458,10
378317,43459,10
378317,43460,10
378317,43461,10
378317,43462,10
378317,43463,10
378317,43464,10
378317,43465,10
378317,43466,10
378317,43467,10
378317,43468,10
378317,43469,10
378317,43470,10
378317,43471,10
378317,43472,10
378317,43473,10
378317,43474,10
378317,43475,10
378317,43476,10
378317,43477,10
378317,43478,10
378317,43479,10
378317,43480,10
378317,43481,10
378317,66848,10
378317,66849,2
379807,510,10
379807,7627,10
402002,510,10
402002,512,10
401891,510,2
364072,510,8
364072,515,10
364072,545,10
