user_id,job
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,accounting
18,
19,
20,
21,
22,
23,administrative
24,accounting
25,
26,
27,
28,
29,consulting
30,
31,
32,
33,
34,
35,
36,
37,accounting
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,accounting
51,
52,
53,
54,
55,
56,
57,
58,
59,recherche et développement
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,administrative
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,ressources humaines
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,administrative
152,
153,
154,
155,
156,
157,
158,administrative
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,recherche et développement
171,
172,
173,
174,
175,
176,
177,administrative
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,accounting
194,
195,
196,
197,
198,administrative
199,
200,
201,
202,
203,
204,ressources humaines
205,administrative
206,ressources humaines
207,
208,ressources humaines
209,administrative
210,
211,
212,communication
213,
214,
215,
216,
217,
218,accounting
219,accounting
220,accounting
221,accounting
222,accounting
223,accounting
224,legal
225,accounting
226,"finance, risk and insurance"
227,accounting
228,accounting
229,communication
230,accounting
231,accounting
232,accounting
233,
234,
235,accounting
236,communication
237,accounting
238,administrative
239,ressources humaines
240,accounting
241,administrative
242,ressources humaines
243,
244,
245,accounting
246,comptabilité
247,accounting
248,accounting
249,"finance, risk and insurance"
250,accounting
251,administrative
252,
253,ressources humaines
254,commercial
255,
256,accounting
257,production & logistique
258,administrative
259,accounting
260,administrative
261,accounting
262,administrative
263,production & logistique
264,accounting
265,communication
266,administrative
267,recherche et développement
268,
269,
270,
271,
272,communication
273,accounting
274,accounting
275,"finance, risk and insurance"
276,
277,accounting
278,accounting
279,accounting
280,
281,production & logistique
282,consulting
283,
284,
285,accounting
286,
287,accounting
288,
289,
290,
291,administrative
292,accounting
293,
294,
295,accounting
296,
297,
298,legal
299,
300,
301,accounting
302,
303,
304,
305,accounting
306,ressources humaines
307,
308,communication
309,administrative
310,
311,
312,accounting
313,accounting
314,ressources humaines
315,
316,accounting
317,accounting
318,accounting
319,recherche et développement
320,"finance, risk and insurance"
321,consulting
322,
323,legal
324,
325,accounting
326,
327,recherche et développement
328,
329,
330,"finance, risk and insurance"
331,consulting
332,ressources humaines
333,accounting
334,administrative
335,
336,
337,administrative
338,it
339,accounting
340,
341,accounting
342,communication
